Tick 247: Plants: 772, Herbivores: 609, Carnivores: 422
Tick 248: Plants: 827, Herbivores: 608, Carnivores: 456
Tick 249: Plants: 743, Herbivores: 630, Carnivores: 447
Tick 250: Plants: 757, Herbivores: 602, Carnivores: 459
Tick 251: Plants: 803, Herbivores: 671, Carnivores: 452
Tick 252: Plants: 724, Herbivores: 582, Carnivores: 452
Tick 253: Plants: 701, Herbivores: 539, Carnivores: 477
Tick 254: Plants: 693, Herbivores: 567, Carnivores: 466
Tick 255: Plants: 655, Herbivores: 528, Carnivores: 459
Tick 256: Plants: 741, Herbivores: 546, Carnivores: 449
Tick 257: Plants: 741, Herbivores: 606, Carnivores: 483
Tick 258: Plants: 724, Herbivores: 566, Carnivores: 463
Tick 259: Plants: 660, Herbivores: 555, Carnivores: 456
Tick 260: Plants: 714, Herbivores: 557, Carnivores: 477
Tick 261: Plants: 713, Herbivores: 583, Carnivores: 461
Tick 262: Plants: 739, Herbivores: 597, Carnivores: 469
Tick 263: Plants: 717, Herbivores: 562, Carnivores: 460
Tick 264: Plants: 698, Herbivores: 552, Carnivores: 460
Tick 265: Plants: 848, Herbivores: 695, Carnivores: 476
Tick 266: Plants: 714, Herbivores: 552, Carnivores: 431
Tick 267: Plants: 672, Herbivores: 547, Carnivores: 457
Tick 268: Plants: 667, Herbivores: 546, Carnivores: 461
Tick 269: Plants: 692, Herbivores: 536, Carnivores: 466
Tick 270: Plants: 706, Herbivores: 537, Carnivores: 484
Tick 271: Plants: 685, Herbivores: 518, Carnivores: 455
Tick 272: Plants: 652, Herbivores: 521, Carnivores: 439
Tick 273: Plants: 776, Herbivores: 559, Carnivores: 475
Tick 274: Plants: 673, Herbivores: 520, Carnivores: 453
Tick 275: Plants: 668, Herbivores: 538, Carnivores: 443
Tick 276: Plants: 681, Herbivores: 591, Carnivores: 454
Tick 277: Plants: 737, Herbivores: 554, Carnivores: 491
Tick 278: Plants: 699, Herbivores: 495, Carnivores: 472
Tick 279: Plants: 664, Herbivores: 485, Carnivores: 472
Tick 280: Plants: 665, Herbivores: 520, Carnivores: 468
Tick 281: Plants: 648, Herbivores: 492, Carnivores: 451
Tick 282: Plants: 741, Herbivores: 539, Carnivores: 447
Tick 283: Plants: 651, Herbivores: 456, Carnivores: 450
Tick 284: Plants: 639, Herbivores: 479, Carnivores: 456
Tick 285: Plants: 637, Herbivores: 453, Carnivores: 451
Tick 286: Plants: 687, Herbivores: 495, Carnivores: 471
Tick 287: Plants: 707, Herbivores: 504, Carnivores: 483
Tick 288: Plants: 668, Herbivores: 483, Carnivores: 458
Tick 289: Plants: 721, Herbivores: 504, Carnivores: 462
Tick 290: Plants: 766, Herbivores: 482, Carnivores: 474
Tick 291: Plants: 725, Herbivores: 469, Carnivores: 457
Tick 292: Plants: 722, Herbivores: 446, Carnivores: 456
Tick 293: Plants: 662, Herbivores: 456, Carnivores: 449
Tick 294: Plants: 652, Herbivores: 470, Carnivores: 439
Tick 295: Plants: 684, Herbivores: 460, Carnivores: 432
Tick 296: Plants: 676, Herbivores: 464, Carnivores: 409
Tick 297: Plants: 695, Herbivores: 493, Carnivores: 424
Tick 298: Plants: 696, Herbivores: 495, Carnivores: 418
Tick 299: Plants: 789, Herbivores: 498, Carnivores: 404
Tick 300: Plants: 742, Herbivores: 570, Carnivores: 410
Tick 301: Plants: 647, Herbivores: 493, Carnivores: 415
Tick 302: Plants: 718, Herbivores: 557, Carnivores: 407
Tick 303: Plants: 737, Herbivores: 547, Carnivores: 404
Tick 304: Plants: 679, Herbivores: 536, Carnivores: 404
Tick 305: Plants: 704, Herbivores: 548, Carnivores: 397
Tick 306: Plants: 683, Herbivores: 560, Carnivores: 406
Tick 307: Plants: 687, Herbivores: 576, Carnivores: 385
Tick 308: Plants: 687, Herbivores: 568, Carnivores: 380
Tick 309: Plants: 668, Herbivores: 553, Carnivores: 386
Tick 310: Plants: 710, Herbivores: 559, Carnivores: 394
Tick 311: Plants: 656, Herbivores: 587, Carnivores: 376
Tick 312: Plants: 694, Herbivores: 585, Carnivores: 390
Tick 313: Plants: 681, Herbivores: 634, Carnivores: 397
Tick 314: Plants: 748, Herbivores: 656, Carnivores: 389
Tick 315: Plants: 765, Herbivores: 673, Carnivores: 405
Tick 316: Plants: 689, Herbivores: 637, Carnivores: 404
Tick 317: Plants: 708, Herbivores: 622, Carnivores: 414
Tick 318: Plants: 644, Herbivores: 599, Carnivores: 422
Tick 319: Plants: 650, Herbivores: 604, Carnivores: 432
Tick 320: Plants: 686, Herbivores: 609, Carnivores: 449
Tick 321: Plants: 795, Herbivores: 678, Carnivores: 448
Tick 322: Plants: 685, Herbivores: 622, Carnivores: 450
Tick 323: Plants: 663, Herbivores: 602, Carnivores: 469
Tick 324: Plants: 702, Herbivores: 617, Carnivores: 472
Tick 325: Plants: 686, Herbivores: 623, Carnivores: 481
Tick 326: Plants: 665, Herbivores: 622, Carnivores: 497
Tick 327: Plants: 640, Herbivores: 640, Carnivores: 520
Tick 328: Plants: 687, Herbivores: 641, Carnivores: 513
Tick 329: Plants: 666, Herbivores: 662, Carnivores: 526
Tick 330: Plants: 683, Herbivores: 655, Carnivores: 509
Tick 331: Plants: 651, Herbivores: 639, Carnivores: 534
Tick 332: Plants: 652, Herbivores: 661, Carnivores: 530
Tick 333: Plants: 739, Herbivores: 669, Carnivores: 565
Tick 334: Plants: 669, Herbivores: 674, Carnivores: 577
Tick 335: Plants: 614, Herbivores: 625, Carnivores: 593
Tick 336: Plants: 626, Herbivores: 614, Carnivores: 553
Tick 337: Plants: 668, Herbivores: 634, Carnivores: 569
Tick 338: Plants: 635, Herbivores: 610, Carnivores: 612
Tick 339: Plants: 641, Herbivores: 634, Carnivores: 599
Tick 340: Plants: 655, Herbivores: 616, Carnivores: 593
Tick 341: Plants: 634, Herbivores: 578, Carnivores: 609
Tick 342: Plants: 603, Herbivores: 612, Carnivores: 601
Tick 343: Plants: 649, Herbivores: 617, Carnivores: 614
Tick 344: Plants: 588, Herbivores: 580, Carnivores: 598
Tick 345: Plants: 628, Herbivores: 607, Carnivores: 587
Tick 346: Plants: 637, Herbivores: 572, Carnivores: 570
Tick 347: Plants: 609, Herbivores: 548, Carnivores: 588
Tick 348: Plants: 598, Herbivores: 593, Carnivores: 583
Tick 349: Plants: 605, Herbivores: 560, Carnivores: 575
Tick 350: Plants: 586, Herbivores: 558, Carnivores: 605
Tick 351: Plants: 602, Herbivores: 549, Carnivores: 594
Tick 352: Plants: 615, Herbivores: 555, Carnivores: 577
Tick 353: Plants: 631, Herbivores: 520, Carnivores: 589
Tick 354: Plants: 577, Herbivores: 515, Carnivores: 577
Tick 355: Plants: 742, Herbivores: 655, Carnivores: 585
Tick 356: Plants: 575, Herbivores: 500, Carnivores: 567
Tick 357: Plants: 601, Herbivores: 503, Carnivores: 550
Tick 358: Plants: 568, Herbivores: 500, Carnivores: 529
Tick 359: Plants: 592, Herbivores: 482, Carnivores: 534
Tick 360: Plants: 594, Herbivores: 466, Carnivores: 531
Tick 361: Plants: 593, Herbivores: 481, Carnivores: 525
Tick 362: Plants: 598, Herbivores: 478, Carnivores: 539
Tick 363: Plants: 594, Herbivores: 457, Carnivores: 532
Tick 364: Plants: 616, Herbivores: 438, Carnivores: 504
Tick 365: Plants: 640, Herbivores: 462, Carnivores: 504
Tick 366: Plants: 653, Herbivores: 444, Carnivores: 494
Tick 367: Plants: 653, Herbivores: 466, Carnivores: 513
Tick 368: Plants: 651, Herbivores: 457, Carnivores: 511
Tick 369: Plants: 787, Herbivores: 524, Carnivores: 516
Tick 370: Plants: 754, Herbivores: 474, Carnivores: 498
Tick 371: Plants: 681, Herbivores: 447, Carnivores: 483
Tick 372: Plants: 665, Herbivores: 428, Carnivores: 496
Tick 373: Plants: 648, Herbivores: 424, Carnivores: 489
Tick 374: Plants: 697, Herbivores: 429, Carnivores: 523
Tick 375: Plants: 680, Herbivores: 418, Carnivores: 521
Tick 376: Plants: 683, Herbivores: 438, Carnivores: 509
Tick 377: Plants: 789, Herbivores: 483, Carnivores: 539
Tick 378: Plants: 713, Herbivores: 439, Carnivores: 496
Tick 379: Plants: 708, Herbivores: 478, Carnivores: 507
Tick 380: Plants: 780, Herbivores: 455, Carnivores: 494
Tick 381: Plants: 697, Herbivores: 463, Carnivores: 485
Tick 382: Plants: 694, Herbivores: 473, Carnivores: 484
Tick 383: Plants: 708, Herbivores: 438, Carnivores: 485
Tick 384: Plants: 800, Herbivores: 475, Carnivores: 485
Tick 385: Plants: 693, Herbivores: 467, Carnivores: 472
Tick 386: Plants: 688, Herbivores: 457, Carnivores: 475
Tick 387: Plants: 720, Herbivores: 499, Carnivores: 475
Tick 388: Plants: 723, Herbivores: 475, Carnivores: 487
Tick 389: Plants: 734, Herbivores: 479, Carnivores: 480
Tick 390: Plants: 745, Herbivores: 520, Carnivores: 479
Tick 391: Plants: 726, Herbivores: 534, Carnivores: 489
Tick 392: Plants: 766, Herbivores: 485, Carnivores: 478
Tick 393: Plants: 774, Herbivores: 501, Carnivores: 485
Tick 394: Plants: 713, Herbivores: 550, Carnivores: 500
Tick 395: Plants: 772, Herbivores: 526, Carnivores: 478
Tick 396: Plants: 720, Herbivores: 513, Carnivores: 481
Tick 397: Plants: 799, Herbivores: 568, Carnivores: 480
Tick 398: Plants: 867, Herbivores: 567, Carnivores: 496
Tick 399: Plants: 837, Herbivores: 546, Carnivores: 461
Tick 400: Plants: 901, Herbivores: 545, Carnivores: 495
Tick 401: Plants: 751, Herbivores: 548, Carnivores: 494
Tick 402: Plants: 779, Herbivores: 543, Carnivores: 448
Tick 403: Plants: 793, Herbivores: 586, Carnivores: 500
Tick 404: Plants: 858, Herbivores: 600, Carnivores: 459
Tick 405: Plants: 769, Herbivores: 562, Carnivores: 493
Tick 406: Plants: 779, Herbivores: 538, Carnivores: 479
Tick 407: Plants: 783, Herbivores: 554, Carnivores: 504
Tick 408: Plants: 836, Herbivores: 528, Carnivores: 504
Tick 409: Plants: 808, Herbivores: 559, Carnivores: 515
Tick 410: Plants: 877, Herbivores: 561, Carnivores: 508
Tick 411: Plants: 818, Herbivores: 550, Carnivores: 518
Tick 412: Plants: 815, Herbivores: 575, Carnivores: 519
Tick 413: Plants: 855, Herbivores: 586, Carnivores: 535
Tick 414: Plants: 824, Herbivores: 551, Carnivores: 518
Tick 415: Plants: 784, Herbivores: 534, Carnivores: 552
Tick 416: Plants: 1181, Herbivores: 773, Carnivores: 555
Tick 417: Plants: 820, Herbivores: 573, Carnivores: 567
Tick 418: Plants: 773, Herbivores: 587, Carnivores: 541
Tick 419: Plants: 812, Herbivores: 547, Carnivores: 563
Tick 420: Plants: 806, Herbivores: 609, Carnivores: 563
Tick 421: Plants: 761, Herbivores: 535, Carnivores: 536
Tick 422: Plants: 791, Herbivores: 587, Carnivores: 571
Tick 423: Plants: 786, Herbivores: 569, Carnivores: 574
Tick 424: Plants: 763, Herbivores: 597, Carnivores: 554
Tick 425: Plants: 765, Herbivores: 636, Carnivores: 561
Tick 426: Plants: 772, Herbivores: 628, Carnivores: 555
Tick 427: Plants: 797, Herbivores: 641, Carnivores: 561
Tick 428: Plants: 756, Herbivores: 622, Carnivores: 568
Tick 429: Plants: 765, Herbivores: 619, Carnivores: 559
Tick 430: Plants: 774, Herbivores: 607, Carnivores: 548
Tick 431: Plants: 775, Herbivores: 634, Carnivores: 583
Tick 432: Plants: 706, Herbivores: 627, Carnivores: 557
Tick 433: Plants: 752, Herbivores: 646, Carnivores: 571
Tick 434: Plants: 710, Herbivores: 625, Carnivores: 598
Tick 435: Plants: 765, Herbivores: 657, Carnivores: 584
Tick 436: Plants: 759, Herbivores: 648, Carnivores: 608
Tick 437: Plants: 795, Herbivores: 684, Carnivores: 599
Tick 438: Plants: 855, Herbivores: 687, Carnivores: 609
Tick 439: Plants: 736, Herbivores: 657, Carnivores: 597
Tick 440: Plants: 743, Herbivores: 613, Carnivores: 622
Tick 441: Plants: 751, Herbivores: 607, Carnivores: 628
Tick 442: Plants: 735, Herbivores: 643, Carnivores: 601
Tick 443: Plants: 741, Herbivores: 593, Carnivores: 621
Tick 444: Plants: 740, Herbivores: 646, Carnivores: 642
Tick 445: Plants: 730, Herbivores: 623, Carnivores: 649
Tick 446: Plants: 719, Herbivores: 576, Carnivores: 655
